entity,type,id
CHU de Besançon,Organization,Q3145168
Amandine,Person,-
centre hospitalier universitaire (CHU) de la préfecture du Doubs,Organization,Q3145168
préfecture du Doubs,Location,Q37776
Doubs,Location,Q3361
Didier Riethmuller,Person,-
Bourgogne-Franche-Comté,Location,Q18578267
Ile-de-France,Location,Q18578267
Sir Fielding Ould,Person,-
CHU bisontin,Organization,Q3145168
The Lancet,Organization,Q939416
Conseil national des gynécologues et obstétriciens français,Organization,-
Besançon,Location,Q37776
Patricia Moyne,Person,-
Coralie,Person,-
Soraya,Person,-
Pauline,Person,-
